10
32 427
2 13 30
29 6 6
8 9 88
29 11 45
15 20 10
1 4 30
26 11 21
19 11 53
28 8 83
31 4 47
2 7 64
21 24 70
21 19 54
2 24 95
32 27 34
16 23 97
30 20 35
25 29 51
20 27 24
29 2 54
22 31 100
22 24 69
19 2 7
12 3 73
24 12 55
28 10 72
12 27 91
6 12 47
1 27 43
9 32 22
30 26 65
20 22 34
13 9 25
9 31 72
2 25 13
13 17 65
30 13 93
1 20 31
22 16 27
9 18 4
10 19 26
7 9 51
8 22 70
9 15 93
28 32 39
27 25 73
16 19 11
4 19 29
30 23 34
12 2 20
19 9 89
19 18 28
22 25 55
9 6 55
24 26 28
20 32 9
26 22 93
31 6 64
30 18 90
11 31 100
30 12 55
10 6 98
2 20 65
21 31 40
29 12 25
7 27 63
26 4 6
9 22 4
27 3 28
23 13 60
28 7 96
6 8 50
6 21 7
28 11 36
31 16 2
2 6 72
6 18 100
24 5 6
10 13 41
24 11 53
1 10 82
24 3 13
20 11 88
10 26 12
24 16 26
19 26 81
30 1 60
23 3 80
5 16 45
2 23 91
13 4 1
15 2 28
16 4 99
21 27 28
30 9 38
18 10 48
30 3 81
20 31 67
18 22 44
5 2 1
26 5 44
31 26 57
32 15 39
1 28 57
2 10 66
20 10 50
30 5 40
1 18 19
29 30 99
22 27 60
24 15 54
7 32 12
11 3 28
1 21 77
23 15 86
13 27 56
1 19 10
29 32 66
26 9 2
16 1 67
7 1 91
15 28 95
26 29 61
19 30 58
28 27 23
22 15 71
24 6 34
15 8 72
7 24 75
20 18 99
12 21 39
29 13 63
28 24 51
4 3 22
5 9 78
11 18 23
7 10 42
27 24 50
30 11 57
1 13 55
19 3 26
9 4 96
28 30 40
31 23 20
24 10 94
25 16 40
27 31 3
22 5 45
1 11 17
19 7 81
7 15 97
10 5 60
16 6 21
25 31 96
8 26 10
10 32 36
30 8 87
31 32 30
1 12 42
8 2 17
19 13 78
22 13 82
11 16 65
1 23 95
24 9 32
29 19 58
23 28 100
27 6 14
16 29 81
28 16 23
29 21 25
13 26 41
28 9 38
5 18 74
16 10 81
21 15 12
19 32 23
22 7 87
31 28 1
23 32 55
7 16 80
28 26 26
8 7 41
3 7 95
22 11 75
29 24 19
12 20 98
28 29 7
15 10 31
1 26 67
26 6 89
1 32 50
15 11 86
20 24 95
29 22 5
30 24 43
30 27 23
10 29 87
7 29 37
11 4 56
32 18 51
5 21 40
6 20 27
2 18 100
30 32 44
25 6 94
16 15 89
31 18 70
27 15 15
2 30 28
25 8 23
19 6 92
10 9 45
7 25 42
26 20 64
30 7 80
3 25 31
29 31 69
9 25 41
2 21 61
9 3 62
3 6 7
20 25 96
9 27 38
23 24 95
1 22 46
27 19 1
25 10 98
31 5 87
25 5 49
26 2 6
15 31 10
18 23 91
7 26 85
19 12 68
18 28 59
20 8 80
15 1 19
26 15 40
25 1 91
11 12 56
7 13 39
15 13 2
12 8 3
6 32 50
1 3 24
5 12 8
16 27 33
22 32 14
22 12 44
23 5 44
28 19 21
26 27 29
18 21 18
31 7 58
23 29 66
3 10 63
19 22 78
18 24 28
3 20 96
9 1 88
26 23 92
12 4 36
4 29 51
13 32 56
21 13 88
5 27 14
25 12 75
4 23 34
32 16 48
13 6 66
21 11 97
1 8 98
25 21 25
31 19 50
29 8 69
5 8 15
8 27 18
31 30 5
29 14 1
13 16 37
8 3 56
21 22 9
16 18 17
20 16 58
11 9 18
20 28 86
12 26 43
2 31 33
23 27 7
6 15 47
30 22 3
9 21 55
3 22 15
29 9 70
23 11 55
3 5 3
10 21 78
28 22 36
20 19 45
27 11 78
11 8 19
23 7 64
26 18 96
3 18 93
8 13 81
3 16 11
10 22 13
25 15 64
6 23 81
13 5 22
21 23 8
5 32 63
24 19 22
13 31 5
29 15 61
9 16 95
26 25 66
12 9 57
10 23 12
13 28 13
4 20 86
21 7 80
13 11 8
12 15 78
30 25 37
25 18 82
8 31 40
6 7 42
12 28 70
10 11 23
23 9 29
16 12 61
31 12 72
8 32 93
3 28 6
25 28 70
1 24 90
3 31 53
25 32 18
13 3 94
18 27 19
5 19 7
29 18 90
20 21 6
9 2 57
11 6 2
29 20 89
11 7 54
12 18 89
4 21 17
9 20 53
3 26 11
16 30 86
13 25 54
11 2 87
8 16 4
1 31 70
24 13 81
26 21 43
6 5 21
2 22 60
1 2 59
3 32 92
13 18 81
15 30 86
1 6 71
20 5 58
28 2 25
2 3 79
12 23 21
23 20 99
31 10 40
12 13 32
2 27 79
28 5 33
12 10 94
21 8 49
31 24 82
4 8 5
32 21 53
7 12 32
27 29 15
10 8 12
13 20 38
5 7 22
19 25 61
32 26 34
8 18 23
12 32 27
4 22 38
22 23 44
16 21 44
18 15 23
27 10 100
4 24 71
23 25 52
5 15 12
